Matrix,Analyte,Conc Range,Method,Unit,Type,Source,Mean,Mean_gg,sd,sd_gg,log_mean,log_sd,H_sd,log_H_sd
PDR_SMP,Lactose Monohydrate,,LACT01,G_P_100G,Interim Precision,Replicates,58.35,0.5835,0.316,0.00316,-0.23395914,-2.500312917,1.2656,0.102285215
PDR_SMP,Lactose Monohydrate,,LACT01,G_P_100G,Repeatability,Duplicates,58.65,0.5865,0.138,0.00138,-0.231731984,-2.860120914,1.2711,0.104177151
CHEESE,Total Solids,,MOIS22,G_P_100G,Repeatability,Duplicates,60.13,0.6013,0.054,0.00054,-0.220908796,-3.26760624,1.2983,0.113371286
MEAT_PROD,Moisture,,MOIS23,G_P_100G,Interim Precision,Replicates,64.8,0.648,0.987,0.00987,-0.188424994,-2.005682847,1.3835,0.140965789
CHEESE,Moisture,,MOIS29,G_P_100G,Repeatability,Duplicates,65.6,0.656,0.17,0.0017,-0.183096161,-2.769551079,1.3980,0.145492553
MEAT_PROD,Moisture,,MOIS23,G_P_100G,Repeatability,Duplicates,66.89,0.6689,0.248,0.00248,-0.174638804,-2.605548319,1.4213,0.152676951
SAUCES,Moisture,,MOIS29,G_P_100G,Repeatability,Duplicates,67.05,0.6705,0.11,0.0011,-0.173601218,-2.958607315,1.4242,0.153558365
FATS_OILS,Fat,,FATS01,G_P_100G,Interim Precision,Replicates,67.25,0.6725,0.308,0.00308,-0.172307711,-2.511449283,1.4278,0.154657179
CREAM,Moisture,,MOIS29,G_P_100G,Repeatability,Duplicates,67.98,0.6798,0.057,0.00057,-0.16761884,-3.244125144,1.4409,0.158640305
MEATP_RAW,Moisture,,MOIS23,G_P_100G,Interim Precision,Replicates,70.05,0.7005,1.292,0.01292,-0.15459186,-1.888737486,1.4781,0.169706529
SAUCES,Moisture,,MOIS08,G_P_100G,Repeatability,Duplicates,78.44,0.7844,0.1,0.001,-0.105462415,-3,1.6272,0.211441256
BUTTER,Fat,,FATS01,G_P_100G,Interim Precision,Replicates,80.25,0.8025,0.464,0.00464,-0.095554959,-2.333482019,1.6590,0.219857491
BUTTER,Fat,,FATS01,G_P_100G,Repeatability,Duplicates,80.86,0.8086,0.11,0.0011,-0.092266263,-2.958607315,1.6697,0.222651189
PDR_WHEY,Lactose Monohydrate,,LACT01,G_P_100G,Interim Precision,Replicates,81.17,0.8117,0.926,0.00926,-0.090604454,-2.033389013,1.6752,0.224062871
PDR_WHEY,Lactose Monohydrate,,LACT01,G_P_100G,Repeatability,Duplicates,82.57,0.8257,0.2,0.002,-0.083177715,-2.698970004,1.6997,0.230371774
BUTTER,Fat,,FATS03,G_P_100G,Interim Precision,Replicates,83.26,0.8326,0.519,0.00519,-0.079563593,-2.284832642,1.7118,0.233441916
BUTTER,Fat,,FATS03,G_P_100G,Repeatability,Duplicates,83.9,0.839,0.105,0.00105,-0.076238039,-2.978810701,1.7229,0.236266925
SRM Matrix,Moisture,,MOIS08,G_P_100G,Interim Precision,SRM53AQ,87.67,0.8767,0.059,0.00059,-0.057148993,-3.229147988,1.7885,0.252482783
SRM Matrix,Moisture,,MOIS08,G_P_100G,Interim Precision,SRM53AT,87.74,0.8774,0.013,0.00013,-0.05680237,-3.886056648,1.7897,0.252777234
SRM Matrix,Moisture,,MOIS08,G_P_100G,Interim Precision,SRM53AR,87.76,0.8776,0.072,0.00072,-0.056703385,-3.142667504,1.7900,0.25286132
SRM Matrix,Moisture,,MOIS08,G_P_100G,Interim Precision,SRM53AS,87.77,0.8777,0.065,0.00065,-0.056653902,-3.187086643,1.7902,0.252903356
SRM Matrix,Moisture,,MOIS08,G_P_100G,Interim Precision,SRM53AP,87.79,0.8779,0.06,0.0006,-0.056554951,-3.22184875,1.7906,0.252987413
SRM Matrix,Moisture,,MOIS23,G_P_100G,Interim Precision,SRM53AQ,87.86,0.8786,0.039,0.00039,-0.056208801,-3.408935393,1.7918,0.253281462
SRM Matrix,Moisture,,MOIS23,G_P_100G,Interim Precision,SRM53AT,87.89,0.8789,0.068,0.00068,-0.056060536,-3.167491087,1.7923,0.253407412
SRM Matrix,Moisture,,MOIS23,G_P_100G,Interim Precision,SRM53AS,87.95,0.8795,0.06,0.0006,-0.055764156,-3.22184875,1.7933,0.253659181
SRM Matrix,Moisture,,MOIS23,G_P_100G,Interim Precision,SRM53AR,87.95,0.8795,0.046,0.00046,-0.055764156,-3.337242168,1.7933,0.253659181
SRM Matrix,Moisture,,MOIS23,G_P_100G,Interim Precision,SRM53AP,87.97,0.8797,0.032,0.00032,-0.055665408,-3.494850022,1.7937,0.253743066
SRM Matrix,Moisture,,MOIS08,G_P_100G,Interim Precision,SRM53AM,88.08,0.8808,0.121,0.00121,-0.055122694,-2.91721463,1.7956,0.254204094
SRM Matrix,Moisture,,MOIS08,G_P_100G,Interim Precision,SRM53AO,88.18,0.8818,0.097,0.00097,-0.054629906,-3.013228266,1.7973,0.25462271
SRM Matrix,Moisture,,MOIS23,G_P_100G,Interim Precision,SRM53AM,88.24,0.8824,0.161,0.00161,-0.054334501,-2.793174124,1.7983,0.254873652
SRM Matrix,Moisture,,MOIS08,G_P_100G,Interim Precision,SRM53AN,88.26,0.8826,0.062,0.00062,-0.054236077,-3.207608311,1.7987,0.254957262
SRM Matrix,Moisture,,MOIS23,G_P_100G,Interim Precision,SRM53AO,88.35,0.8835,0.097,0.00097,-0.053793446,-3.013228266,1.8003,0.25533327
SRM Matrix,Moisture,,MOIS21,G_P_100G,Interim Precision,SRM53AN,88.41,0.8841,0.096,0.00096,-0.053498609,-3.017728767,1.8013,0.255583729
SRM Matrix,Moisture,,MOIS23,G_P_100G,Interim Precision,SRM53AN,88.45,0.8845,0.068,0.00068,-0.053302163,-3.167491087,1.8020,0.255750608
PDR_LACT,Lactose Monohydrate,,LACT01,G_P_100G,Repeatability,Duplicates,99.76,0.9976,0.184,0.00184,-0.00104356,-2.735182177,1.9959,0.300143507
PDR_LACT,Lactose Monohydrate,,LACT01,G_P_100G,Interim Precision,Replicates,100.16,1.0016,0.657,0.00657,0.000694316,-2.18243463,2.0027,0.301619807
PDR_MILK,Whey Protein Nitrogen,,WHPN02,MG_P_G,Repeatability,Duplicates,2.49,0.0025,0.021,0.000021,-2.603800653,-4.677780705,0.1228,-0.910859608
SRM Matrix,Whey Protein Nitrogen,,WHPN02,MG_P_G,Interim Precision,SRM17K,2.85,0.0029,0.065,0.000065,-2.54515514,-4.187086643,0.1377,-0.861041124
SRM Matrix,Whey Protein Nitrogen,,WHPN01,MG_P_G,Interim Precision,SRM20J,2.89,0.0029,0.081,0.000081,-2.539102157,-4.091514981,0.1393,-0.855899206
PDR_SMP,Whey Protein Nitrogen,,WHPN01,MG_P_G,Repeatability,Duplicates,3.24,0.0032,0.025,0.000025,-2.48945499,-4.602059991,0.1536,-0.813724682
PDR_SMP,Whey Protein Nitrogen,,WHPN01,MG_P_G,Interim Precision,Replicates,3.53,0.0035,0.026,0.000026,-2.452225295,-4.585026652,0.1652,-0.782098614
PDR_FCMP,Whey Protein Nitrogen,,WHPN02,MG_P_G,Interim Precision,Replicates,3.61,0.0036,0.095,0.000095,-2.442492798,-4.022276395,0.1683,-0.773831004
PDR_FCMP,Whey Protein Nitrogen,,WHPN02,MG_P_G,Repeatability,Duplicates,4.08,0.0041,0.028,0.000028,-2.389339837,-4.552841969,0.1868,-0.728678361
SRM Matrix,Tin,,ICPM01,MG_P_KG,Interim Precision,IRM001A_CL,0.02,0,0.008,8.00E-10,-7.698970004,-9.096910013,0.0058,-2.239129555
PDR_MPC,Chromium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.006,6.00E-10,-7.698970004,-9.22184875,0.0058,-2.239129555
CHEESE,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.005,5.00E-10,-7.698970004,-9.301029996,0.0058,-2.239129555
PDR_WPC,Chromium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.005,5.00E-10,-7.698970004,-9.301029996,0.0058,-2.239129555
PDR_FCMP,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.005,5.00E-10,-7.698970004,-9.301029996,0.0058,-2.239129555
PDR_WPC,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.004,4.00E-10,-7.698970004,-9.397940009,0.0058,-2.239129555
PDR_SMP,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.004,4.00E-10,-7.698970004,-9.397940009,0.0058,-2.239129555
PDR_LACT,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.004,4.00E-10,-7.698970004,-9.397940009,0.0058,-2.239129555
PDR_WHEY,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.004,4.00E-10,-7.698970004,-9.397940009,0.0058,-2.239129555
PDR_MPC,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.004,4.00E-10,-7.698970004,-9.397940009,0.0058,-2.239129555
CHEESE,Chromium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.004,4.00E-10,-7.698970004,-9.397940009,0.0058,-2.239129555
PDR_BLEND,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.004,4.00E-10,-7.698970004,-9.397940009,0.0058,-2.239129555
MISC_DAIRY,Lead,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.004,4.00E-10,-7.698970004,-9.397940009,0.0058,-2.239129555
PET_FOOD,Lead,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.004,4.00E-10,-7.698970004,-9.397940009,0.0058,-2.239129555
PDR_MPC,Nickel,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.004,4.00E-10,-7.698970004,-9.397940009,0.0058,-2.239129555
PDR_BLEND,Nickel,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.004,4.00E-10,-7.698970004,-9.397940009,0.0058,-2.239129555
PDR_INFANT,Vitamin B12,,VB1201,MG_P_KG,Interim Precision,Replicates,0.02,0,0.004,4.00E-10,-7.698970004,-9.397940009,0.0058,-2.239129555
FISH,Cobalt,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.003,3.00E-10,-7.698970004,-9.522878745,0.0058,-2.239129555
FISH,Lead,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.003,3.00E-10,-7.698970004,-9.522878745,0.0058,-2.239129555
MISC_DAIRY,Nickel,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.003,3.00E-10,-7.698970004,-9.522878745,0.0058,-2.239129555
PDR_WHEY,Nickel,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.003,3.00E-10,-7.698970004,-9.522878745,0.0058,-2.239129555
PDR_MILK,Nickel,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.003,3.00E-10,-7.698970004,-9.522878745,0.0058,-2.239129555
HERB_SPICE,Antimony,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.002,2.00E-10,-7.698970004,-9.698970004,0.0058,-2.239129555
BUTTER,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.002,2.00E-10,-7.698970004,-9.698970004,0.0058,-2.239129555
MISC_PROD,Cobalt,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.002,2.00E-10,-7.698970004,-9.698970004,0.0058,-2.239129555
PDR_FCMP,Nickel,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.002,2.00E-10,-7.698970004,-9.698970004,0.0058,-2.239129555
CEREAL_PRD,Arsenic,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
MISC_DAIRY,Bismuth,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
SAUCES,Cadmium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
CEREAL_PRD,Cadmium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
PET_FOOD,Cadmium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
PET_FOOD,Cadmium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
FLAV_COLOR,Cadmium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
MISC_FOOD,Cadmium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
CASEINATE,Cadmium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
VEGETABLE,Cobalt,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
CHEMICAL,Cobalt,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
FISH,Cobalt,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
VEGETABLE,Cobalt,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
SAUCES,Cobalt,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
CEREAL_PRD,Cobalt,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
MISC_FOOD,Cobalt,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
PDR_LACT,Molybdenum,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
FISH,Molybdenum,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.02,0,0.001,1.00E-10,-7.698970004,-10,0.0058,-2.239129555
SRM Matrix,Tin,,ICPM01,MG_P_KG,Interim Precision,IRM001A_MW,0.03,0,0.021,2.10E-09,-7.522878745,-8.677780705,0.0081,-2.089542672
NUTS,Chromium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.03,0,0.011,1.10E-09,-7.522878745,-8.958607315,0.0081,-2.089542672
SRM Matrix,Chromium,,ICPM01,MG_P_KG,Interim Precision,IRM001A_CL,0.03,0,0.008,8.00E-10,-7.522878745,-9.096910013,0.0081,-2.089542672
FATS_OILS,Chromium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.03,0,0.008,8.00E-10,-7.522878745,-9.096910013,0.0081,-2.089542672
SRM Matrix,Nickel,,ICPM01,MG_P_KG,Interim Precision,IRM001A_CL,0.03,0,0.007,7.00E-10,-7.522878745,-9.15490196,0.0081,-2.089542672
MISC_DAIRY,Nickel,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.03,0,0.007,7.00E-10,-7.522878745,-9.15490196,0.0081,-2.089542672
MISC_DAIRY,Vitamin B12,,VB1201,MG_P_KG,Interim Precision,Replicates,0.03,0,0.007,7.00E-10,-7.522878745,-9.15490196,0.0081,-2.089542672
AMF,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.03,0,0.006,6.00E-10,-7.522878745,-9.22184875,0.0081,-2.089542672
PDR_FCMP,Tin,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.03,0,0.006,6.00E-10,-7.522878745,-9.22184875,0.0081,-2.089542672
PDR_INFANT,Nickel,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.03,0,0.005,5.00E-10,-7.522878745,-9.301029996,0.0081,-2.089542672
PDR_SMP,Chromium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.03,0,0.004,4.00E-10,-7.522878745,-9.397940009,0.0081,-2.089542672
NUTS,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.03,0,0.004,4.00E-10,-7.522878745,-9.397940009,0.0081,-2.089542672
MISC_PROD,Lead,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.03,0,0.004,4.00E-10,-7.522878745,-9.397940009,0.0081,-2.089542672
SRM Matrix,Vitamin B12,,VB1201,MG_P_KG,Interim Precision,IRM001,0.03,0,0.004,4.00E-10,-7.522878745,-9.397940009,0.0081,-2.089542672
FISH,Arsenic,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.03,0,0.003,3.00E-10,-7.522878745,-9.522878745,0.0081,-2.089542672
SUG_STARCH,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.03,0,0.003,3.00E-10,-7.522878745,-9.522878745,0.0081,-2.089542672
PDR_MISC,Nickel,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.03,0,0.003,3.00E-10,-7.522878745,-9.522878745,0.0081,-2.089542672
MEAT_BONE,Antimony,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.03,0,0.002,2.00E-10,-7.522878745,-9.698970004,0.0081,-2.089542672
PDR_BLEND,Bismuth,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.03,0,0.002,2.00E-10,-7.522878745,-9.698970004,0.0081,-2.089542672
PDR_MISC,Bismuth,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.03,0,0.002,2.00E-10,-7.522878745,-9.698970004,0.0081,-2.089542672
MEAT_BONE,Cadmium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.03,0,0.002,2.00E-10,-7.522878745,-9.698970004,0.0081,-2.089542672
CEREAL_PRD,Cobalt,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.03,0,0.002,2.00E-10,-7.522878745,-9.698970004,0.0081,-2.089542672
CHEESE,Tin,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.03,0,0.002,2.00E-10,-7.522878745,-9.698970004,0.0081,-2.089542672
CHEMICAL,Arsenic,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.03,0,0.001,1.00E-10,-7.522878745,-10,0.0081,-2.089542672
PDR_SMP,Bismuth,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.03,0,0.001,1.00E-10,-7.522878745,-10,0.0081,-2.089542672
PDR_SMP,Bismuth,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.03,0,0.001,1.00E-10,-7.522878745,-10,0.0081,-2.089542672
PDR_CHEESE,Bismuth,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.03,0,0.001,1.00E-10,-7.522878745,-10,0.0081,-2.089542672
NUTS,Cadmium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.03,0,0.001,1.00E-10,-7.522878745,-10,0.0081,-2.089542672
PDR_WHEY,Cobalt,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.03,0,0.001,1.00E-10,-7.522878745,-10,0.0081,-2.089542672
PET_FOOD,Lead,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.03,0,0.001,1.00E-10,-7.522878745,-10,0.0081,-2.089542672
FISH,Molybdenum,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.03,0,0.001,1.00E-10,-7.522878745,-10,0.0081,-2.089542672
VEGETABLE,Molybdenum,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.03,0,0.001,1.00E-10,-7.522878745,-10,0.0081,-2.089542672
BUTTER,Molybdenum,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.03,0,0.001,1.00E-10,-7.522878745,-10,0.0081,-2.089542672
MEAT_BONE,Arsenic,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.04,0,0.016,1.60E-09,-7.397940009,-8.795880017,0.0104,-1.983409089
SRM Matrix,Nickel,,ICPM01,MG_P_KG,Interim Precision,IRM001A_MW,0.04,0,0.012,1.20E-09,-7.397940009,-8.920818754,0.0104,-1.983409089
SRM Matrix,Chromium,,ICPM01,MG_P_KG,Interim Precision,IRM001A_MW,0.04,0,0.01,0.000000001,-7.397940009,-9,0.0104,-1.983409089
FATS_OILS,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.04,0,0.009,9.00E-10,-7.397940009,-9.045757491,0.0104,-1.983409089
PDR_WHPROT,Chromium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.04,0,0.008,8.00E-10,-7.397940009,-9.096910013,0.0104,-1.983409089
MISC_DAIRY,Chromium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.04,0,0.007,7.00E-10,-7.397940009,-9.15490196,0.0104,-1.983409089
VEGETABLE,Chromium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.04,0,0.005,5.00E-10,-7.397940009,-9.301029996,0.0104,-1.983409089
MISC_DAIRY,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.04,0,0.004,4.00E-10,-7.397940009,-9.397940009,0.0104,-1.983409089
PDR_MILK,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.04,0,0.004,4.00E-10,-7.397940009,-9.397940009,0.0104,-1.983409089
PACK_MEALS,Cobalt,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.04,0,0.004,4.00E-10,-7.397940009,-9.397940009,0.0104,-1.983409089
PDR_INFANT,Nickel,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.04,0,0.004,4.00E-10,-7.397940009,-9.397940009,0.0104,-1.983409089
SRM Matrix,Vitamin B12,,VB1201,MG_P_KG,Interim Precision,IRM001A,0.04,0,0.004,4.00E-10,-7.397940009,-9.397940009,0.0104,-1.983409089
FLAV_COLOR,Arsenic,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.04,0,0.003,3.00E-10,-7.397940009,-9.522878745,0.0104,-1.983409089
PDR_FCMP,Tin,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.04,0,0.003,3.00E-10,-7.397940009,-9.522878745,0.0104,-1.983409089
PET_FOOD,Tin,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.04,0,0.003,3.00E-10,-7.397940009,-9.522878745,0.0104,-1.983409089
CEREAL_PRD,Arsenic,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.04,0,0.002,2.00E-10,-7.397940009,-9.698970004,0.0104,-1.983409089
FLAV_COLOR,Arsenic,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.04,0,0.002,2.00E-10,-7.397940009,-9.698970004,0.0104,-1.983409089
PDR_MILK,Bismuth,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.04,0,0.002,2.00E-10,-7.397940009,-9.698970004,0.0104,-1.983409089
PACK_MEALS,Cobalt,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.04,0,0.002,2.00E-10,-7.397940009,-9.698970004,0.0104,-1.983409089
MEAT_BONE,Cadmium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.04,0,0.001,1.00E-10,-7.397940009,-10,0.0104,-1.983409089
VEGETABLE,Molybdenum,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.04,0,0.001,1.00E-10,-7.397940009,-10,0.0104,-1.983409089
CUSTARD,Molybdenum,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.04,0,0.001,1.00E-10,-7.397940009,-10,0.0104,-1.983409089
CHEMICAL,Arsenic,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.05,0,0.02,0.000000002,-7.301029996,-8.698970004,0.0126,-1.901085486
PDR_WHPROT,Nickel,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.05,0,0.02,0.000000002,-7.301029996,-8.698970004,0.0126,-1.901085486
FISH,Nickel,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.05,0,0.01,0.000000001,-7.301029996,-9,0.0126,-1.901085486
MISC_FOOD,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.05,0,0.009,9.00E-10,-7.301029996,-9.045757491,0.0126,-1.901085486
PDR_WHPROT,Nickel,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.05,0,0.008,8.00E-10,-7.301029996,-9.096910013,0.0126,-1.901085486
PET_FOOD,Tin,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.05,0,0.008,8.00E-10,-7.301029996,-9.096910013,0.0126,-1.901085486
PDR_CHEESE,Nickel,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.05,0,0.007,7.00E-10,-7.301029996,-9.15490196,0.0126,-1.901085486
PDR_INFANT,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.05,0,0.005,5.00E-10,-7.301029996,-9.301029996,0.0126,-1.901085486
ENVIRONMNT,Aluminium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.05,0,0.003,3.00E-10,-7.301029996,-9.522878745,0.0126,-1.901085486
HERB_SPICE,Cadmium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.05,0,0.003,3.00E-10,-7.301029996,-9.522878745,0.0126,-1.901085486
VEGETABLE,Tin,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.05,0,0.003,3.00E-10,-7.301029996,-9.522878745,0.0126,-1.901085486
PDR_CHEESE,Tin,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.05,0,0.003,3.00E-10,-7.301029996,-9.522878745,0.0126,-1.901085486
HERB_SPICE,Cadmium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.05,0,0.002,2.00E-10,-7.301029996,-9.698970004,0.0126,-1.901085486
MISC_PDR,Antimony,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.05,0,0.001,1.00E-10,-7.301029996,-10,0.0126,-1.901085486
FLAV_COLOR,Cobalt,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.05,0,0.001,1.00E-10,-7.301029996,-10,0.0126,-1.901085486
CHEMICAL,Lead,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.05,0,0.001,1.00E-10,-7.301029996,-10,0.0126,-1.901085486
FISH,Tin,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.06,0,0.016,1.60E-09,-7.22184875,-8.795880017,0.0147,-1.833822205
PDR_MISC,Vitamin D,,VITD01,MG_P_KG,Interim Precision,Replicates,0.06,0,0.012,1.20E-09,-7.22184875,-8.920818754,0.0147,-1.833822205
FISH,Chromium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.06,0,0.011,1.10E-09,-7.22184875,-8.958607315,0.0147,-1.833822205
PDR_WHPROT,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.06,0,0.008,8.00E-10,-7.22184875,-9.096910013,0.0147,-1.833822205
PDR_INFANT,Chromium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.06,0,0.006,6.00E-10,-7.22184875,-9.22184875,0.0147,-1.833822205
FISH,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.06,0,0.005,5.00E-10,-7.22184875,-9.301029996,0.0147,-1.833822205
CEREAL_PRD,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.06,0,0.005,5.00E-10,-7.22184875,-9.301029996,0.0147,-1.833822205
FISH,Tin,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.06,0,0.005,5.00E-10,-7.22184875,-9.301029996,0.0147,-1.833822205
NUTS,Cadmium,,ICPM01,MG_P_KG,Interim Precision,Replicates,0.06,0,0.004,4.00E-10,-7.22184875,-9.397940009,0.0147,-1.833822205
SAUCES,Chromium,,ICPM01,MG_P_KG,Repeatability,Duplicates,0.06,0,0.004,4.00E-10,-7.22184875,-9.397940009,0.0147,-1.833822205
